x,y,type
100,52,3
106,65,3
57,62,2
74,62,2
121,53,3
21,8,0
107,51,3
133,55,3
108,51,3
135,53,3
122,47,3
118,51,3
167,48,5
112,50,3
111,107,1
128,47,3
63,65,2
72,85,2
120,52,3
143,44,3
80,106,2
80,75,2
70,62,2
103,97,1
56,60,2
118,57,3
103,92,1
134,56,3
68,68,2
68,66,2
76,90,2
124,61,3
135,58,3
80,70,2
58,61,2
74,69,2
117,56,3
143,48,3
126,50,3
73,75,2
72,89,2
122,51,3
137,50,3
126,51,3
104,53,3
123,51,3
120,48,3
122,50,3
114,47,3
110,52,3
122,103,1
60,72,2
70,63,2
119,45,3
40,11,0
131,51,3
73,82,2
66,71,2
114,49,3
167,48,5
134,60,3
74,73,2
118,53,3
135,53,3
116,38,3
118,52,3
73,68,2
177,52,5
113,47,3
149,58,3
119,55,3
125,55,3
108,45,3
83,43,0
125,43,3
108,50,3
129,48,3
110,54,3
136,48,3
111,105,1
111,107,1
93,53,3
115,49,3
79,96,2
108,52,3
63,61,2
75,79,2
145,58,3
117,46,3
61,72,2
134,55,3
142,55,3
112,51,3
79,70,2
129,47,3
114,48,3
119,49,3
108,39,3
131,46,3
119,46,3
123,53,3
126,55,3
60,78,2
109,98,1
102,92,1
71,90,2
79,82,2
194,47,5
72,77,2
122,43,3
117,58,3
126,57,3
90,42,3
122,53,3
64,68,2
115,57,3
127,48,3
118,48,3
133,59,3
136,54,3
111,92,1
85,107,2
121,54,3
92,82,2
146,52,3
136,54,3
40,9,0
128,43,3
99,47,3
143,46,3
133,53,3
110,110,1
43,15,0
70,70,2
77,59,2
105,48,3
132,56,3
63,78,2
110,96,1
130,74,0
100,86,1
63,70,2
60,28,0
142,49,3
106,84,1
77,91,2
106,100,1
132,53,3
133,53,3
122,58,3
125,49,3
137,47,3
127,54,3
109,46,3
106,49,3
120,53,3
73,76,2
122,53,3
65,63,2
119,56,3
125,54,3
71,84,2
132,55,3
119,54,3
43,11,0
57,74,2
113,46,3
114,44,3
119,38,3
125,45,3
74,76,2
138,50,3
132,48,3
62,66,2
119,43,3
127,54,3
141,53,3
109,104,1
141,46,3
132,49,3
76,70,2
102,43,3
82,106,2
122,49,3
139,54,3
114,49,3
66,79,2
60,72,2
117,123,1
128,50,3
102,106,1
137,43,3
121,51,3
118,53,3
56,21,0
123,56,3
133,44,3
141,45,3
57,78,2
169,45,5
119,113,1
142,55,3
121,114,1
105,52,3
149,108,0
131,46,3
113,106,1
115,127,1
66,28,0
131,37,3
130,59,3
118,55,3
69,87,2
120,50,3
131,50,3
177,51,5
124,56,3
124,48,3
129,42,3
82,92,2
74,74,2
78,107,2
104,101,1
68,69,2
97,102,1
114,50,3
129,42,3
150,50,3
127,51,3
77,90,2
122,49,3
85,99,2
70,62,2
80,38,0
147,56,3
75,71,2
134,46,3
117,52,3
121,53,3
70,85,2
133,52,3
53,21,0
143,54,3
147,55,3
143,57,3
59,69,2
81,102,2
112,47,3
109,45,3
83,81,2
135,43,3
120,57,3
106,49,3
118,46,3
177,48,5
95,103,1
109,53,3
113,47,3
75,74,2
115,51,3
116,54,3
124,61,3
133,48,3
118,49,3
120,46,3
72,67,2
178,50,5
116,67,3
70,66,2
129,47,3
99,105,1
119,71,0
126,60,3
134,55,3
125,62,3
179,44,5
143,53,3
118,45,3
130,60,3
143,59,3
82,97,2
132,43,3
136,47,3
89,44,3
130,50,3
136,40,3
127,46,3
82,37,0
103,47,3
137,58,3
140,52,3
178,50,5
141,44,3
136,42,3
109,49,3
69,67,2
123,41,3
51,12,0
130,56,3
176,44,5
70,84,2
115,53,3
68,17,0
63,77,2
65,65,2
122,46,3
81,101,2
111,47,3
96,85,1
124,44,3
104,105,1
114,51,3
118,44,3
126,55,3
62,75,2
73,86,2
64,66,2
113,104,1
144,54,3
89,97,2
110,46,3
123,56,3
106,44,3
161,45,5
131,59,3
71,66,2
106,107,1
121,55,3
142,57,3
120,48,3
113,53,3
132,53,3
132,49,3
124,45,3
120,51,3
33,13,0
106,51,3
72,93,2
113,45,3
114,104,1
132,49,3
71,86,2
68,39,0
71,76,2
121,50,3
124,54,3
116,49,3
124,52,3
147,52,3
137,58,3
192,49,5
149,56,3
67,74,2
114,55,3
104,52,3
127,42,3
123,53,3
108,97,1
169,54,5
162,45,5
134,48,3
107,75,3
132,47,3
120,57,3
129,47,3
112,47,3
128,44,3
110,87,1
108,42,3
145,55,3
133,55,3
100,48,3
105,50,3
114,174,6
111,47,3
124,46,3
132,58,3
124,47,3
114,56,3
73,77,2
116,49,3
163,37,5
80,42,0
121,52,3
55,1,0
130,53,3
51,67,2
54,60,2
132,61,3
59,64,2
119,51,3
74,80,2
100,45,3
133,50,3
35,11,0
100,94,1
112,41,3
113,51,3
68,58,2
104,112,1
112,53,3
119,50,3
167,54,5
148,53,3
108,99,1
119,55,3
63,64,2
80,77,2
75,69,2
97,87,1
76,87,2
123,51,3
62,63,2
78,73,2
116,46,3
61,64,2
66,93,2
121,38,3
66,82,2
107,41,3
112,44,3
116,45,3
121,39,3
116,52,3
120,55,3
104,109,1
128,54,3
130,49,3
139,47,3
145,50,3
118,51,3
110,106,1
99,97,1
130,46,3
129,62,3
113,55,3
143,52,3
123,47,3
99,103,1
137,51,3
32,15,0
180,50,5
126,52,3
111,52,3
100,123,1
114,55,3
70,65,2
123,55,3
120,58,3
65,78,2
127,47,3
112,85,1
131,62,3
69,72,2
110,36,3
36,2,0
117,51,3
108,43,3
128,51,3
119,50,3
119,47,3
113,46,3
140,54,3
145,52,3
144,50,3
138,52,3
78,75,2
133,61,3
119,48,3
121,39,3
141,48,3
130,53,3
70,100,2
83,104,2
63,63,2
59,77,2
137,54,3
87,55,3
131,48,3
126,49,3
124,46,3
128,51,3
66,69,2
126,45,3
125,57,3
72,81,2
147,57,3
117,44,3
118,59,3
74,65,2
68,35,0
128,45,3
80,109,2
76,83,2
65,65,2
109,45,3
111,51,3
115,48,3
63,88,2
114,53,3
134,50,3
122,51,3
128,57,3
84,98,2
125,47,3
121,55,3
76,80,2
114,55,3
122,48,3
67,78,2
143,53,3
130,44,3
74,65,2
125,45,3
124,43,3
110,55,3
117,45,3
82,72,2
127,51,3
58,0,0
98,88,1
121,53,3
115,48,3
127,46,3
165,46,5
110,41,3
120,50,3
112,48,3
68,64,2
137,51,3
111,49,3
67,82,2
139,52,3
125,52,3
102,61,3
129,54,3
120,55,3
128,52,3
117,56,3
135,48,3
117,56,3
46,15,0
67,64,2
61,69,2
72,90,2
111,48,3
128,50,3
129,44,3
113,48,3
126,58,3
124,54,3
129,56,3
147,50,3
118,51,3
143,43,3
71,82,2
78,84,2
106,88,1
125,46,3
139,48,3
68,81,2
129,47,3
122,47,3
63,62,2
126,45,3
123,47,3
117,47,3
56,34,0
140,53,3
135,58,3
121,55,3
112,42,3
68,89,2
130,59,3
113,46,3
107,45,3
109,47,3
134,51,3
127,58,3
147,53,3
119,41,3
73,102,2
95,28,3
114,48,3
122,51,3
106,48,3
114,51,3
127,54,3
68,61,2
101,107,1
130,53,3
114,54,3
125,50,3
94,45,3
66,68,2
124,46,3
117,46,3
70,101,2
66,74,2
110,51,3
97,55,3
135,51,3
132,51,3
73,83,2
122,55,3
120,52,3
132,58,3
130,58,3
116,56,3
73,78,2
62,66,2
135,53,3
144,56,3
118,50,3
68,68,2
143,50,3
131,48,3
117,53,3
122,47,3
113,56,3
116,51,3
117,53,3
62,68,2
137,51,3
37,15,0
114,102,1
60,73,2
135,44,3
118,48,3
74,97,2
133,57,3
116,50,3
95,117,1
56,70,2
129,46,3
42,20,0
70,94,2
90,83,2
110,50,3
140,55,3
118,54,3
116,114,1
132,49,3
135,45,3
64,70,2
122,54,3
133,57,3
142,52,3
104,106,1
127,46,3
115,101,1
123,51,3
63,61,2
69,72,2
138,52,3
66,67,2
133,54,3
136,47,3
138,52,3
116,86,1
55,59,2
123,59,3
124,44,3
102,49,3
124,53,3
